student_uni_id,sprofileid,pcmciiid,coursecode,coursename,l_actual_conducted,t_actual_conducted,p_actual_conducted,s_actual_conducted,,l_attended,t_attended,p_attended,s_attended,,l_absent,t_absent,p_absent,s_absent,l_extra,t_extra,p_extra,s_extra,l_ambigous,t_ambigous,p_ambigous,s_ambigous,lc_considered,tc_considered,pc_considered,sc_considered,le_upper_considered,te_upper_considered,pe_upper_considered,se_upper_considered,l_after_e_considered,t_after_e_considered,p_after_e_considered,s_after_e_considered,attendance_percentage
2300090066,70913,68508,23CS2205R,DESIGN AND ANALYSIS OF ALGORTHIMS,21,0,14,31,,16,0,12,24,,5,0,2,7,0,0,0,0,0,0,0,0,21,0,14,31,3,0,2,4,16,0,12,24,79
2300090330,68739,69277,23CS2221F,UX DESIGN,22,0,20,0,,22,0,20,0,,0,0,0,0,0,0,0,0,0,0,0,0,22,0,20,0,3,0,2,0,22,0,20,0,100
2300090390,67570,69277,23CS2221F,UX DESIGN,22,0,20,0,,22,0,20,0,,0,0,0,0,0,0,0,0,0,0,0,0,22,0,20,0,3,0,2,0,22,0,20,0,100
2300090282,67485,69277,23CS2221F,UX DESIGN,22,0,20,0,,22,0,20,0,,0,0,0,0,0,0,0,0,0,0,0,0,22,0,20,0,3,0,2,0,22,0,20,0,100
2300090071,67531,69277,23CS2221F,UX DESIGN,24,0,22,0,,24,0,22,0,,0,0,0,0,0,0,0,0,0,0,0,0,24,0,22,0,3,0,3,0,24,0,22,0,100
2300090107,68308,69277,23CS2221F,UX DESIGN,22,0,20,0,,22,0,20,0,,0,0,0,0,0,0,0,0,0,0,0,0,22,0,20,0,3,0,2,0,22,0,20,0,100
2300090111,67882,69277,23CS2221F,UX DESIGN,22,0,20,0,,22,0,20,0,,0,0,0,0,0,0,0,0,0,0,0,0,22,0,20,0,3,0,2,0,22,0,20,0,100
2300090004,67277,69277,23CS2221F,UX DESIGN,26,0,24,0,,26,0,24,0,,0,0,0,0,0,0,0,0,0,0,0,0,26,0,24,0,3,0,3,0,26,0,24,0,100
2300090318,68771,69277,23CS2221F,UX DESIGN,20,0,20,0,,20,0,20,0,,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,2,0,2,0,20,0,20,0,100
2300090269,67631,69277,23CS2221F,UX DESIGN,26,0,24,0,,26,0,24,0,,0,0,0,0,0,0,0,0,0,0,0,0,26,0,24,0,3,0,3,0,26,0,24,0,100
2300090230,67750,69277,23CS2221F,UX DESIGN,20,0,20,0,,20,0,20,0,,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,2,0,2,0,20,0,20,0,100
2300090156,67285,69277,23CS2221F,UX DESIGN,26,0,24,0,,26,0,24,0,,0,0,0,0,0,0,0,0,0,0,0,0,26,0,24,0,3,0,3,0,26,0,24,0,100
2300090202,67792,69277,23CS2221F,UX DESIGN,20,0,20,0,,20,0,20,0,,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,2,0,2,0,20,0,20,0,100
2300090168,63255,69277,23CS2221F,UX DESIGN,20,0,20,0,,20,0,20,0,,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,2,0,2,0,20,0,20,0,100
2300090278,67525,69277,23CS2221F,UX DESIGN,20,0,20,0,,20,0,20,0,,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,2,0,2,0,20,0,20,0,100
2300090317,67626,69277,23CS2221F,UX DESIGN,24,0,22,0,,24,0,20,0,,0,0,2,0,0,0,0,0,0,0,0,0,24,0,22,0,3,0,3,0,24,0,20,0,98
2300090291,67780,69277,23CS2221F,UX DESIGN,24,0,22,0,,24,0,20,0,,0,0,2,0,0,0,0,0,0,0,0,0,24,0,22,0,3,0,3,0,24,0,20,0,98
2300090339,68985,69277,23CS2221F,UX DESIGN,24,0,22,0,,24,0,20,0,,0,0,2,0,0,0,0,0,0,0,0,0,24,0,22,0,3,0,3,0,24,0,20,0,98
2300090045,65383,69277,23CS2221F,UX DESIGN,24,0,22,0,,24,0,20,0,,0,0,2,0,0,0,0,0,0,0,0,0,24,0,22,0,3,0,3,0,24,0,20,0,98
2300090346,62747,69277,23CS2221F,UX DESIGN,24,0,22,0,,24,0,18,0,,0,0,4,0,0,0,0,0,0,0,0,0,24,0,22,0,3,0,3,0,24,0,18,0,95
2300090209,67491,69277,23CS2221F,UX DESIGN,20,0,20,0,,18,0,20,0,,2,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,2,0,2,0,18,0,20,0,94
2300090190,64476,69277,23CS2221F,UX DESIGN,22,0,20,0,,20,0,20,0,,2,0,0,0,0,0,0,0,0,0,0,0,22,0,20,0,3,0,2,0,20,0,20,0,94
2300090050,67517,69277,23CS2221F,UX DESIGN,26,0,24,0,,24,0,22,0,,2,0,2,0,0,0,0,0,0,0,0,0,26,0,24,0,3,0,3,0,24,0,22,0,93
2300090189,67944,69277,23CS2221F,UX DESIGN,26,0,24,0,,22,0,22,0,,4,0,2,0,0,0,0,0,0,0,0,0,26,0,24,0,3,0,3,0,22,0,22,0,87
2300090014,64463,69277,23CS2221F,UX DESIGN,26,0,24,0,,20,0,22,0,,6,0,2,0,0,0,0,0,0,0,0,0,26,0,24,0,3,0,3,0,20,0,22,0,82
2300090022,62767,69276,23CS2224F, CRYPT ANALYSIS & CYBER DEFENSE,20,0,18,0,,20,0,18,0,,0,0,0,0,0,0,0,0,0,0,0,0,20,0,18,0,2,0,2,0,20,0,18,0,100
2300090185,65675,69276,23CS2224F, CRYPT ANALYSIS & CYBER DEFENSE,20,0,18,0,,18,0,18,0,,2,0,0,0,0,0,0,0,0,0,0,0,20,0,18,0,2,0,2,0,18,0,18,0,94
2300090316,69479,69276,23CS2224F, CRYPT ANALYSIS & CYBER DEFENSE,20,0,18,0,,18,0,16,0,,2,0,2,0,0,0,0,0,0,0,0,0,20,0,18,0,2,0,2,0,18,0,16,0,90
2300090359,69741,69276,23CS2224F, CRYPT ANALYSIS & CYBER DEFENSE,20,0,18,0,,18,0,14,0,,2,0,4,0,0,0,0,0,0,0,0,0,20,0,18,0,2,0,2,0,18,0,14,0,87
2300090321,69518,69477,23CS2227F,DATA ANALYTICS AND VISUALIZATION,22,0,22,0,,22,0,22,0,,0,0,0,0,0,0,0,0,0,0,0,0,22,0,22,0,3,0,3,0,22,0,22,0,100
2300090309,67814,69477,23CS2227F,DATA ANALYTICS AND VISUALIZATION,20,0,22,0,,18,0,22,0,,2,0,0,0,0,0,0,0,0,0,0,0,20,0,22,0,2,0,3,0,18,0,22,0,94
2300090120,65189,69477,23CS2227F,DATA ANALYTICS AND VISUALIZATION,22,0,20,0,,20,0,18,0,,2,0,2,0,0,0,0,0,0,0,0,0,22,0,20,0,3,0,2,0,20,0,18,0,91
2300090240,70467,69477,23CS2227F,DATA ANALYTICS AND VISUALIZATION,22,0,22,0,,20,0,20,0,,2,0,2,0,0,0,0,0,0,0,0,0,22,0,22,0,3,0,3,0,20,0,20,0,91
2300090024,62575,69477,23CS2227F,DATA ANALYTICS AND VISUALIZATION,20,0,22,0,,18,0,20,0,,2,0,2,0,0,0,0,0,0,0,0,0,20,0,22,0,2,0,3,0,18,0,20,0,91
2300090272,67733,69477,23CS2227F,DATA ANALYTICS AND VISUALIZATION,22,0,22,0,,16,0,16,0,,2,0,2,0,0,0,0,0,4,0,4,0,18,0,18,0,2,0,2,0,16,0,16,0,89
2300090201,67872,69477,23CS2227F,DATA ANALYTICS AND VISUALIZATION,20,0,22,0,,18,0,18,0,,2,0,4,0,0,0,0,0,0,0,0,0,20,0,22,0,2,0,3,0,18,0,18,0,88
2300090182,68304,69477,23CS2227F,DATA ANALYTICS AND VISUALIZATION,22,0,22,0,,18,0,18,0,,4,0,4,0,0,0,0,0,0,0,0,0,22,0,22,0,3,0,3,0,18,0,18,0,82
